id,name,link,price,category,
1,"Nestle Pure Life Purified Water, 16.9 fl oz. Plastic Bottles (12 count)",https://www.amazon.com/Nestle-Pure-Life-Purified-Plastic/dp/B00NP79AI8/ref=sr_1_4?fpw=pantry&keywords=bottled+water&qid=1574886162&s=pantry&sr=8-4,2.23,Prime Pantry,
2,MIRA SAFETY Hazmat Suit Disposable Protective Coverall NFPA certified with Respirator-Fit Hood and Elastic Cuff Size (LG/XL),https://www.amazon.com/MIRA-SAFETY-Disposable-Protective-Respirator-Fit/dp/B07QPX3YLV/ref=sr_1_8?keywords=hazmat+suit&qid=1574887933&sr=8-8,129.95,Prime Wardrobe,
3,Nuka Cola Quantum from Fallout Jones Soda | 1 Bottle,https://www.amazon.com/Nuka-Quantum-Fallout-Jones-Bottle/dp/B016ZEGTBS/ref=sr_1_2?keywords=nuka+cola&qid=1574887971&sr=8-2,14.99,Prime Pantry,
4,RiteBrew - Gold Oxygen Absorbing Bottle Caps - 144 pcs,https://www.amazon.com/RiteBrew-Gold-Oxygen-Absorbing-Bottle/dp/B0038L5T68/ref=sr_1_3?keywords=bottle+caps&qid=1574888139&s=hpc&sr=1-3,7.08,Health & personal care,
5,"First Aid Only 299 Piece All-Purpose First Aid Kit, Soft Case",https://www.amazon.com/First-Aid-Only-Piece-All-Purpose/dp/B000069EYA/ref=sxin_3_ac_d_rm?ac_md=0-0-bWVkIGtpdA%3D%3D-ac_d_rm&keywords=med+kit&pd_rd_i=B000069EYA&pd_rd_r=1a9353c0-e178-4072-b9d9-e5a5218b8a05&pd_rd_w=4RypA&pd_rd_wg=Sv0gh&pf_rd_p=6d29ef56-fc35-411a-8a8e-7114f01518f7&pf_rd_r=YM5MTNN3S77W68QZS4S0&psc=1&qid=1574888000,16.82,Health & personal care,
6,Campbell's Chicken Noodle Soup (Pack of 8),https://www.amazon.com/Campbells-Soup-Chicken-Noodle-15-4/dp/B0029TATOW/ref=sr_1_1?keywords=campbells+chicken+noodle+soup&qid=1575305943&s=hpc&sr=1-1,12.26,Prime Pantry,"< THE COLOR HERE MEANS NOTHING, BTW.. JUST HELPING ME KEEP TRACK OF WHAT I'VE DONE!"
7,Purina Friskies Wet Cat Food Variety Pack,https://www.amazon.com/Purina-Friskies-Pate-Adult-Variety/dp/B002CJARMI/ref=sr_1_4?keywords=pet+food&qid=1574888218&s=hpc&sr=1-4,12.84,Prime Pantry,
8,"SOG Fixed Blade Knives with Sheath - SEAL Team Survival Knife, Tactical Knife & Hunting Knife w/ 7 Inch AUS-8 Bowie Knife Half Serrated Edge (S37-K)",https://www.amazon.com/SOG-Fixed-Blade-Knives-Sheath/dp/B001D0PZX8/ref=sr_1_1?keywords=survival+knife&qid=1574888063&s=hpc&sr=1-1,115.17,Sports & Outdoors,
9,Bedsure Fleece Blanket Throw Size Navy Lightweight Super Soft Cozy Luxury Bed Blanket Microfiber,https://www.amazon.com/Bedsure-Fleece-Blanket-Lightweight-Microfiber/dp/B0157T1UMA/ref=sxin_3_ac_d_pm?ac_md=1-0-VW5kZXIgJDE1-ac_d_pm&keywords=blanket&pd_rd_i=B0157T1UMA&pd_rd_r=4d815da3-6b02-4b03-b6cf-3b75f5da588f&pd_rd_w=7oQq3&pd_rd_wg=WmzR7&pf_rd_p=24d053a8-30a1-4822-a2ff-4d1ab2b984fc&pf_rd_r=3KGKJEHQ4JG52YZYKK8X&psc=1&qid=1574888248&s=hpc,14.99,Health & personal care,  :-<
10,Solimo 99% Isopropyl Alcohol (16 fl oz),https://www.amazon.com/Amazon-Brand-Isopropyl-Antiseptic-Technical/dp/B07NFSFBXQ/ref=sr_1_4?keywords=rubbing+alcohol&qid=1574888298&s=hpc&sr=1-4,3.05,Health & personal care,i was using those lulz
